*Vertices      1899
      1   1014    3.0000
      1   1271    8.0000
      1   1312    1.0000
      1   1440    2.0000
      1   1626   16.0000
      1   1655    1.0000
      1   1675    3.0000
      1   1779    1.0000
      1   1790    1.0000
      3      1   35.0000
      3      2    7.0000
      3      4    1.0000
      3      9    1.0000
      3     26    4.0000
      3     27    1.0000
      3     32   19.0000
      3     36    9.0000
      3     41    2.0000
      3     42    4.0000
      3     44    5.0000
      3     51    7.0000
      3     58    1.0000
      3     60    1.0000
      3     62    1.0000
      3     68    3.0000
      3     72    7.0000
      3     83    1.0000
      3     84    3.0000
      3     88    1.0000
      3     99    1.0000
      3    105    1.0000
      3    132    5.0000
      3    135    8.0000
      3    144    1.0000
      3    146    2.0000
      3    155    4.0000
      3    172    1.0000
      3    173    1.0000
      3    176    3.0000
      3    180    2.0000
      3    185    1.0000
      3    194    2.0000
      3    199    1.0000
      3    221    2.0000
      3    224    1.0000
      3    234    2.0000
      3    242    2.0000
      3    243    1.0000
      3    249    7.0000
      3    252    2.0000
      3    257    2.0000
      3    281    2.0000
      3    283    1.0000
      3    285    1.0000
      3    288    1.0000
      3    302    1.0000
      3    308    3.0000
      3    312    4.0000
      3    317    1.0000
      3    323    1.0000
      3    333    1.0000
      3    338    1.0000
      3    346    1.0000
      3    371    1.0000
      3    372    6.0000
      3    374    1.0000
      3    385    1.0000
      3    394    1.0000
      3    408    1.0000
      3    415    1.0000
      3    475    1.0000
      3    477    2.0000
      3    482    4.0000
      3    487    1.0000
      3    488    1.0000
      3    495    1.0000
      3    498    4.0000
      3    504    1.0000
      3    509    1.0000
      3    545    2.0000
      3    555    2.0000
      3    569    2.0000
      3    582    1.0000
      3    590    1.0000
      3    610    1.0000
      3    611    1.0000
      3    615    1.0000
      3    618    1.0000
      3    640    2.0000
      3    641    1.0000
      3    645    1.0000
      3    652    1.0000
      3    681    1.0000
      3    687    3.0000
      3    697    1.0000
      3    700    2.0000
      3    701    1.0000
      3    711    1.0000
      3    731    1.0000
      3    740    2.0000
      3    741    1.0000
      3    752    2.0000
      3    754    2.0000
      3    768    1.0000
      3    778    1.0000
      3    781    1.0000
      3    782    1.0000
      3    790    2.0000
      3    794    1.0000
      3    800    5.0000
      3    810    1.0000
      3    814    1.0000
      3    823    2.0000
      3    824    2.0000
      3    840    1.0000
      3    846    1.0000
      3    865    1.0000
      3    881    1.0000
      3    893    1.0000
      3    928    1.0000
      3    933    1.0000
      3    970    1.0000
      3   1042    1.0000
      3   1103    1.0000
      3   1110    3.0000
      3   1113    1.0000
      3   1117    1.0000
      3   1127    1.0000
      3   1154    2.0000
      3   1167    1.0000
      3   1180    1.0000
      3   1183    1.0000
      3   1185    2.0000
      3   1187    1.0000
      3   1189    2.0000
      3   1190    1.0000
      3   1192    1.0000
      3   1196    1.0000
      3   1208    1.0000
      3   1231    1.0000
      3   1237    2.0000
      3   1249    1.0000
      3   1262    1.0000
      3   1270    1.0000
      3   1281    1.0000
      3   1285    4.0000
      3   1288    1.0000
      3   1315    1.0000
      3   1317    2.0000
      3   1335    1.0000
      3   1340    2.0000
      3   1343    1.0000
      3   1344    1.0000
      3   1349    1.0000
      3   1352    1.0000
      3   1371    1.0000
      3   1373    1.0000
      3   1412    1.0000
      3   1415    1.0000
      3   1419    1.0000
      3   1440    3.0000
      3   1461    1.0000
      3   1463    1.0000
      3   1501    1.0000
      3   1510    2.0000
      3   1565    1.0000
      3   1577    4.0000
      3   1578    1.0000
      3   1585    1.0000
      3   1609    1.0000
      3   1620    1.0000
      3   1626    1.0000
      3   1649    1.0000
      3   1662    1.0000
      3   1711    1.0000
      3   1713    5.0000
      3   1728    1.0000
      3   1738    1.0000
      3   1748    1.0000
      3   1751    1.0000
      3   1784    1.0000
      3   1793    1.0000
      3   1795    1.0000
      3   1807    1.0000
      5      2    1.0000
      6      7    1.0000
      6     48    1.0000
      6     73    4.0000
      6     84    1.0000
      6     88    1.0000
      6     90    1.0000
      6    122    2.0000
      6    124    4.0000
      6    146    1.0000
      6    201    1.0000
      6    212    4.0000
      6    221    2.0000
      6    252    2.0000
      6    278    2.0000
      6    299    1.0000
      6    325    2.0000
      6    335    1.0000
      6    343    1.0000
      6    376    2.0000
      6    378   11.0000
      6    404    2.0000
      6    413   13.0000
      6    422    5.0000
      6    439    1.0000
      6    472    1.0000
      6    479    3.0000
      6    481    7.0000
      6    515    1.0000
      6    540    3.0000
      6    566    1.0000
      6    578    2.0000
      6    591    1.0000
      6    597    1.0000
      6    603    2.0000
      6    636    1.0000
      6    642    1.0000
      6    686    1.0000
      6    687    1.0000
      6    712   13.0000
      6    753    5.0000
      6    794    1.0000
      6    833    1.0000
      6   1020    1.0000
      6   1174    1.0000
      6   1180    2.0000
      8      7    1.0000
      8      9    6.0000
      8     19    1.0000
      8     23    1.0000
      8     32    8.0000
      8     58    1.0000
      8     84    1.0000
      8     99    3.0000
      8    164    2.0000
      8    250    2.0000
      8    254    3.0000
      8    346    2.0000
      8    349    1.0000
      8    395    1.0000
      8    403    1.0000
      8    430    1.0000
      8    557    1.0000
      8    624    1.0000
      8    644    4.0000
      8    771    2.0000
      8    834    4.0000
      8   1000    3.0000
      8   1189    1.0000
      8   1238    1.0000
      8   1285    3.0000
      8   1522    1.0000
      8   1756    2.0000
      8   1799    1.0000
      9      8   56.0000
      9     10    1.0000
      9     11    1.0000
      9     12    2.0000
      9     14    2.0000
      9     15    1.0000
      9     16    1.0000
      9     17    1.0000
      9     18    1.0000
      9     20    1.0000
      9     22    2.0000
      9     24    1.0000
      9     27    4.0000
      9     32   25.0000
      9     34    3.0000
      9     40    1.0000
      9     49    1.0000
      9     52    3.0000
      9     56    2.0000
      9     58    6.0000
      9     61    2.0000
      9     64    1.0000
      9     67    1.0000
      9     72   11.0000
      9     76    3.0000
      9     78    1.0000
      9     86    1.0000
      9     88    1.0000
      9     97   10.0000
      9    101    1.0000
      9    109    5.0000
      9    120    1.0000
      9    121    1.0000
      9    127    4.0000
      9    132    1.0000
      9    135    5.0000
      9    136    1.0000
      9    142   10.0000
      9    144    4.0000
      9    148    1.0000
      9    149    1.0000
      9    150    1.0000
      9    151    1.0000
      9    152    1.0000
      9    153    1.0000
      9    154    1.0000
      9    157    1.0000
      9    165    1.0000
      9    175    9.0000
      9    177   21.0000
      9    190    1.0000
      9    194    2.0000
      9    209    2.0000
      9    212   10.0000
      9    216    1.0000
      9    233    2.0000
      9    235    2.0000
      9    244    1.0000
      9    251    1.0000
      9    252    1.0000
      9    256    2.0000
      9    260    3.0000
      9    262    1.0000
      9    282   50.0000
      9    288   18.0000
      9    294    1.0000
      9    295    2.0000
      9    299    9.0000
      9    308    9.0000
      9    311    4.0000
      9    313    2.0000
      9    314    2.0000
      9    315    1.0000
      9    316    8.0000
      9    317    1.0000
      9    318    3.0000
      9    330    1.0000
      9    343    2.0000
      9    358    3.0000
      9    366    3.0000
      9    368    2.0000
      9    371    1.0000
      9    386    1.0000
      9    389    7.0000
      9    391    7.0000
      9    405    6.0000
      9    409   10.0000
      9    411    2.0000
      9    460    1.0000
      9    463    1.0000
      9    465    4.0000
      9    466    2.0000
      9    472    1.0000
      9    477    2.0000
      9    482    2.0000
      9    498    1.0000
      9    502    1.0000
      9    514    5.0000
      9    527    5.0000
      9    528    1.0000
      9    543    2.0000
      9    561    1.0000
      9    566    3.0000
      9    569   89.0000
      9    596    1.0000
      9    598   42.0000
      9    601   15.0000
      9    607    8.0000
      9    617   10.0000
      9    626    5.0000
      9    636    1.0000
      9    638    2.0000
      9    640    4.0000
      9    652    4.0000
      9    654    1.0000
      9    658    1.0000
      9    679   14.0000
      9    681    4.0000
      9    683   24.0000
      9    686    1.0000
      9    697    6.0000
      9    699    1.0000
      9    708    3.0000
      9    711   12.0000
      9    713    1.0000
      9    724    1.0000
      9    740    1.0000
      9    753   19.0000
      9    766    2.0000
      9    771    2.0000
      9    783    2.0000
      9    784    1.0000
      9    788   10.0000
      9    798    1.0000
      9    802    2.0000
      9    834    7.0000
      9    835    2.0000
      9    844    1.0000
      9    847    1.0000
      9    859    1.0000
      9    862    1.0000
      9    899    2.0000
      9    901    1.0000
      9    928    5.0000
      9    938    2.0000
      9    977    1.0000
      9    978    1.0000
      9    994    1.0000
      9    997    1.0000
      9   1039    1.0000
      9   1050    2.0000
      9   1062    3.0000
      9   1118    4.0000
      9   1121    1.0000
      9   1132    6.0000
      9   1169    2.0000
      9   1181   10.0000
      9   1183   11.0000
      9   1185    1.0000
      9   1188    1.0000
      9   1190    7.0000
      9   1191    1.0000
      9   1196   24.0000
      9   1197    1.0000
      9   1198    1.0000
      9   1206    3.0000
      9   1255    9.0000
      9   1261    2.0000
      9   1265    4.0000
      9   1279    2.0000
      9   1280    4.0000
      9   1281    4.0000
      9   1285    4.0000
      9   1308   16.0000
      9   1312    7.0000
      9   1313   30.0000
      9   1317    2.0000
      9   1323    1.0000
      9   1332    1.0000
      9   1338    7.0000
      9   1342    1.0000
      9   1343   27.0000
      9   1346    4.0000
      9   1380    1.0000
      9   1387    4.0000
      9   1401    2.0000
      9   1402    5.0000
      9   1420    2.0000
      9   1423   12.0000
      9   1434    2.0000
      9   1444    1.0000
      9   1445    1.0000
      9   1450    1.0000
      9   1451    2.0000
      9   1452    1.0000
      9   1453    1.0000
      9   1467    2.0000
      9   1489    1.0000
      9   1501    2.0000
      9   1510    4.0000
      9   1521    6.0000
      9   1545    2.0000
      9   1558    1.0000
      9   1573    1.0000
      9   1580    7.0000
      9   1618    1.0000
      9   1621    1.0000
      9   1622    2.0000
      9   1624    6.0000
      9   1637    2.0000
      9   1640    1.0000
      9   1641    1.0000
      9   1642    3.0000
      9   1643    1.0000
      9   1644    9.0000
      9   1646    1.0000
      9   1647    9.0000
      9   1648    1.0000
      9   1649    1.0000
      9   1650    1.0000
      9   1651    1.0000
      9   1652    1.0000
      9   1655    2.0000
      9   1682    1.0000
      9   1701    1.0000
      9   1706    1.0000
      9   1719    1.0000
      9   1731    8.0000
      9   1742    1.0000
      9   1749    1.0000
      9   1752    1.0000
      9   1753    1.0000
      9   1759    1.0000
      9   1760    1.0000
      9   1763    5.0000
      9   1781    5.0000
      9   1839    3.0000
     10   1258    1.0000
     12      8   19.0000
     12      9    3.0000
     12     13    1.0000
     12     27    5.0000
     12     32   16.0000
     12     66    2.0000
     12     67    2.0000
     12     73    3.0000
     12     80    3.0000
     12     81    1.0000
     12     90    1.0000
     12     96    1.0000
     12    101   13.0000
     12    103    2.0000
     12    109    1.0000
     12    118    1.0000
     12    128    1.0000
     12    140    6.0000
     12    142    9.0000
     12    143    6.0000
     12    144   10.0000
     12    148    2.0000
     12    168    3.0000
     12    173    1.0000
     12    175   35.0000
     12    176    1.0000
     12    260    1.0000
     12    282   24.0000
     12    288   15.0000
     12    297    1.0000
     12    300    2.0000
     12    302    1.0000
     12    308   11.0000
     12    316    1.0000
     12    319    5.0000
     12    343   19.0000
     12    355    1.0000
     12    358    6.0000
     12    360    2.0000
     12    366    3.0000
     12    389   19.0000
     12    391    3.0000
     12    392   11.0000
     12    398    4.0000
     12    402    9.0000
     12    409    5.0000
     12    415    5.0000
     12    439    1.0000
     12    475    1.0000
     12    479    1.0000
     12    480    2.0000
     12    502    1.0000
     12    513    1.0000
     12    527   20.0000
     12    536    7.0000
     12    543    2.0000
     12    547    1.0000
     12    569   81.0000
     12    586    4.0000
     12    588    1.0000
     12    593    3.0000
     12    598    8.0000
     12    599   24.0000
     12    603    3.0000
     12    605   12.0000
     12    609    1.0000
     12    617   10.0000
     12    634    2.0000
     12    638    1.0000
     12    658    5.0000
     12    679    1.0000
     12    681    4.0000
     12    689    2.0000
     12    697    1.0000
     12    711   44.0000
     12    713    2.0000
     12    719    2.0000
     12    753    1.0000
     12    757    4.0000
     12    758    4.0000
     12    766    3.0000
     12    784    1.0000
     12    814    3.0000
     12    817    3.0000
     12    823   15.0000
     12    825    1.0000
     12    830    2.0000
     12    834    2.0000
     12    840    1.0000
     12    857    1.0000
     12    868   14.0000
     12    926    9.0000
     12    938    5.0000
     12    969    6.0000
     12    974    1.0000
     12    984    1.0000
     12    986    2.0000
     12    991    2.0000
     12    997    9.0000
     12    998    1.0000
     12   1039    3.0000
     12   1042    2.0000
     12   1068    5.0000
     12   1080    1.0000
     12   1102    1.0000
     12   1106    1.0000
     12   1118   89.0000
     12   1121    1.0000
     12   1138    8.0000
     12   1153    1.0000
     12   1188    2.0000
     12   1214    3.0000
     12   1246    1.0000
     12   1252    1.0000
     12   1255   11.0000
     12   1281   11.0000
     12   1284    2.0000
     12   1286    2.0000
     12   1297    4.0000
     12   1312   83.0000
     12   1313   19.0000
     12   1338    2.0000
     12   1343   16.0000
     12   1344    5.0000
     12   1379    4.0000
     12   1387   17.0000
     12   1402   12.0000
     12   1406    2.0000
     12   1420    1.0000
     12   1433    7.0000
     12   1440    3.0000
     12   1485    1.0000
     12   1493    2.0000
     12   1520    2.0000
     12   1577    5.0000
     12   1624    7.0000
     12   1639    2.0000
     12   1644    8.0000
     12   1763    3.0000
     12   1808    5.0000
     12   1831    3.0000
     19      8    4.0000
     19     18    1.0000
     19     22    1.0000
     19     52    7.0000
     19     58    4.0000
     19     64    1.0000
     19     65    2.0000
     19     72    2.0000
     19     82    6.0000
     19     85    1.0000
     19    109    8.0000
     19    111    1.0000
     19    114    2.0000
     19    120    2.0000
     19    134    1.0000
     19    139    1.0000
     19    140    1.0000
     19    158    1.0000
     19    175    1.0000
     19    211    1.0000
     19    215    8.0000
     19    220    1.0000
     19    233    3.0000
     19    256    1.0000
     19    265    1.0000
     19    302    5.0000
     19    331    2.0000
     19    353    1.0000
     19    365   11.0000
     19    389    1.0000
     19    396    2.0000
     19    409   36.0000
     19    410    1.0000
     19    419    1.0000
     19    420    2.0000
     19    434    2.0000
     19    443    5.0000
     19    446    1.0000
     19    447    1.0000
     19    451    1.0000
     19    478    1.0000
     19    480    1.0000
     19    481    1.0000
     19    512    1.0000
     19    519    2.0000
     19    525   17.0000
     19    527    6.0000
     19    538   15.0000
     19    566    3.0000
     19    583    4.0000
     19    593    9.0000
     19    598    4.0000
     19    601    4.0000
     19    639    1.0000
     19    654    9.0000
     19    711    9.0000
     19    764    1.0000
     19    806    1.0000
     19    859    7.0000
     19    862    1.0000
     19    874    1.0000
     19    886    1.0000
     19    901    1.0000
     19    924    3.0000
     19    957    1.0000
     19    986   25.0000
     19    991    5.0000
     19    997    1.0000
     19   1015    1.0000
     19   1016    1.0000
     19   1026    1.0000
     19   1046    1.0000
     19   1068    1.0000
     19   1069    1.0000
     19   1072    1.0000
     19   1078    3.0000
     19   1098    2.0000
     19   1099    1.0000
     19   1130    6.0000
     19   1131    2.0000
     19   1132    3.0000
     19   1133    1.0000
     19   1181    5.0000
     19   1207    1.0000
     19   1221    1.0000
     19   1246    4.0000
     19   1260    7.0000
     19   1281    2.0000
     19   1299    1.0000
     19   1313   12.0000
     19   1390    1.0000
     19   1430    3.0000
     19   1435    2.0000
     19   1483    1.0000
     19   1505    1.0000
     19   1573    1.0000
     19   1624    7.0000
     19   1645    6.0000
     19   1664    1.0000
     19   1715    1.0000
     19   1742    1.0000
     19   1749    1.0000
     19   1803    1.0000
     19   1806    2.0000
     19   1882    3.0000
     20     21    2.0000
     20    275    3.0000
     25     21    1.0000
     26      7    1.0000
     26     53    1.0000
     26     63   10.0000
     26    122    1.0000
     26    386    1.0000
     26    404    1.0000
     26    462    2.0000
     26    645    2.0000
     26    679    6.0000
     26    823    1.0000
     26   1014    2.0000
     26   1033    1.0000
     26   1176   16.0000
     26   1281    7.0000
     26   1383    1.0000
     27      9    1.0000
     27     12    4.0000
     27     28    1.0000
     27     42    3.0000
     27     87    2.0000
     27    105    1.0000
     27    184    6.0000
     27    194    2.0000
     27    221    3.0000
     27    234    1.0000
     27    271    3.0000
     27    278   11.0000
     27    342    1.0000
     27    398   13.0000
     27    406    1.0000
     27    414   20.0000
     27    422    4.0000
     27    430    1.0000
     27    456    1.0000
     27    479    3.0000
     27    481    4.0000
     27    582    3.0000
     27    598    1.0000
     27    620   41.0000
     27    652   45.0000
     27    686    1.0000
     27    794    3.0000
     27    949    1.0000
     27    953    1.0000
     27    967    1.0000
     27    970    1.0000
     27    995    1.0000
     27    996    1.0000
     27   1009    8.0000
     27   1031    1.0000
     27   1079   16.0000
     27   1158   14.0000
     27   1162    1.0000
     27   1220    1.0000
     27   1283    1.0000
     27   1285   23.0000
     27   1332    1.0000
     27   1425    5.0000
     27   1472    1.0000
     27   1598    1.0000
     27   1686    9.0000
     27   1713    3.0000
     27   1876    2.0000
     29     25    1.0000
     29     58    1.0000
     29     85    1.0000
     29    389    1.0000
     29    443    2.0000
     29    569    2.0000
     29    654    1.0000
     29    657    1.0000
     29    697    1.0000
     29    823    6.0000
     29    850    1.0000
     29   1072    2.0000
     29   1136    1.0000
     29   1248    1.0000
     29   1302    1.0000
     29   1394    1.0000
     29   1540    2.0000
     29   1587    1.0000
     30      1    1.0000
     30     31    4.0000
     30     72    2.0000
     30    103    5.0000
     30    132    2.0000
     30    161    4.0000
     30    162    1.0000
     30    392    3.0000
     30    404    1.0000
     30    644    1.0000
     30    679    8.0000
     30   1014    2.0000
     30   1176    2.0000
     32      1    1.0000
     32      3    8.0000
     32      8   12.0000
     32      9    6.0000
     32     12    3.0000
     32     26    1.0000
     32     33    1.0000
     32     42    1.0000
     32     52    5.0000
     32     58    4.0000
     32     59    1.0000
     32     60    1.0000
     32     63    4.0000
     32     67    4.0000
     32     68    2.0000
     32     72    1.0000
     32     77    1.0000
     32     88    3.0000
     32    105   11.0000
     32    109    2.0000
     32    118    1.0000
     32    125    1.0000
     32    128    5.0000
     32    130    2.0000
     32    144    1.0000
     32    154    1.0000
     32    155    3.0000
     32    164    2.0000
     32    174    1.0000
     32    175    6.0000
     32    177    9.0000
     32    179    1.0000
     32    184    5.0000
     32    185    1.0000
     32    198    1.0000
     32    209    2.0000
     32    219    4.0000
     32    220    1.0000
     32    237    1.0000
     32    243    1.0000
     32    249    4.0000
     32    263    2.0000
     32    281    9.0000
     32    283    2.0000
     32    291    3.0000
     32    308    1.0000
     32    311    1.0000
     32    312    1.0000
     32    317    2.0000
     32    349    2.0000
     32    353    1.0000
     32    358    1.0000
     32    375    3.0000
     32    377    2.0000
     32    378    7.0000
     32    379    3.0000
     32    393    1.0000
     32    396    1.0000
     32    429    6.0000
     32    430    2.0000
     32    443    2.0000
     32    460    1.0000
     32    462    4.0000
     32    474    3.0000
     32    482    1.0000
     32    494    1.0000
     32    518    1.0000
     32    523    3.0000
     32    525    1.0000
     32    527    3.0000
     32    546    3.0000
     32    547    1.0000
     32    598    4.0000
     32    605    5.0000
     32    626    4.0000
     32    632    2.0000
     32    636    2.0000
     32    638    7.0000
     32    640    3.0000
     32    644    1.0000
     32    654    2.0000
     32    673    4.0000
     32    681    2.0000
     32    683    9.0000
     32    697    1.0000
     32    698    1.0000
     32    704    5.0000
     32    708    1.0000
     32    711    8.0000
     32    753    1.0000
     32    773    1.0000
     32    780    1.0000
     32    792    1.0000
     32    799   10.0000
     32    815    1.0000
     32    818    2.0000
     32    825    2.0000
     32    840    1.0000
     32    926    1.0000
     32    938    6.0000
     32    940    2.0000
     32    957    1.0000
     32    983    1.0000
     32    991    2.0000
     32   1005    1.0000
     32   1015    1.0000
     32   1021    1.0000
     32   1034    5.0000
     32   1036    1.0000
     32   1039    1.0000
     32   1042    5.0000
     32   1050    1.0000
     32   1053    1.0000
     32   1068    2.0000
     32   1072    1.0000
     32   1081    1.0000
     32   1093    2.0000
     32   1099    3.0000
     32   1103    1.0000
     32   1127    3.0000
     32   1132    2.0000
     32   1167    1.0000
     32   1183    3.0000
     32   1190    1.0000
     32   1196    2.0000
     32   1211    3.0000
     32   1217    2.0000
     32   1227    1.0000
     32   1231    2.0000
     32   1232    1.0000
     32   1234    9.0000
     32   1238    1.0000
     32   1255    7.0000
     32   1260   11.0000
     32   1281    5.0000
     32   1285    1.0000
     32   1312    1.0000
     32   1336    2.0000
     32   1338    2.0000
     32   1372    1.0000
     32   1385    1.0000
     32   1386    1.0000
     32   1395    1.0000
     32   1403    1.0000
     32   1463    2.0000
     32   1488    5.0000
     32   1497    1.0000
     32   1505    1.0000
     32   1518    2.0000
     32   1519    1.0000
     32   1543    1.0000
     32   1546    3.0000
     32   1565    1.0000
     32   1573    1.0000
     32   1577    6.0000
     32   1580    1.0000
     32   1642    3.0000
     32   1645    1.0000
     32   1647    1.0000
     32   1655    1.0000
     32   1657    1.0000
     32   1665    1.0000
     32   1675   10.0000
     32   1682    1.0000
     32   1683    1.0000
     32   1689    1.0000
     32   1692    1.0000
     32   1710    1.0000
     32   1731    3.0000
     32   1749    1.0000
     32   1781    2.0000
     32   1785    1.0000
     32   1789    4.0000
     32   1791    1.0000
     32   1807    3.0000
     32   1809    1.0000
     32   1829    1.0000
     32   1831    1.0000
     32   1838    1.0000
     32   1856    1.0000
     32   1857    1.0000
     32   1878    3.0000
     34     33    1.0000
     34     35    1.0000
     34     58    2.0000
     34     88    1.0000
     34    101    3.0000
     34    108    1.0000
     34    109    2.0000
     34    155    1.0000
     34    189    2.0000
     34    242    2.0000
     34    282    3.0000
     34    288    1.0000
     34    299    3.0000
     34    311    1.0000
     34    313   23.0000
     34    318    1.0000
     34    324    2.0000
     34    335    1.0000
     34    343    1.0000
     34    351    1.0000
     34    365    1.0000
     34    396    1.0000
     34    502    4.0000
     34    527    1.0000
     34    538    1.0000
     34    583    1.0000
     34    592    3.0000
     34    698    1.0000
     34    707    1.0000
     34    761    3.0000
     34    768    2.0000
     34    802    2.0000
     34    815    1.0000
     34    843    4.0000
     34   1042    1.0000
     34   1072    2.0000
     34   1130    4.0000
     36      1    6.0000
     36      3    5.0000
     36      6    5.0000
     36     19    3.0000
     36     32    2.0000
     36     34    1.0000
     36     37    1.0000
     36     40    1.0000
     36     44    2.0000
     36     50    2.0000
     36     55    1.0000
     36     56    1.0000
     36     58    1.0000
     36     60    6.0000
     36     73   11.0000
     36     75    4.0000
     36     81    1.0000
     36     84    3.0000
     36     88    1.0000
     36     89    1.0000
     36     90    2.0000
     36     93    2.0000
     36     99    1.0000
     36    103    2.0000
     36    104    2.0000
     36    105    7.0000
     36    109    7.0000
     36    110    2.0000
     36    112    2.0000
     36    113    1.0000
     36    119    5.0000
     36    124    1.0000
     36    127    1.0000
     36    128    2.0000
     36    129    5.0000
     36    133    6.0000
     36    134    1.0000
     36    147    2.0000
     36    155    1.0000
     36    156    1.0000
     36    189   31.0000
     36    209    1.0000
     36    211   12.0000
     36    214    2.0000
     36    221    5.0000
     36    222    4.0000
     36    236    2.0000
     36    250    2.0000
     36    254    6.0000
     36    259    2.0000
     36    281    5.0000
     36    285    3.0000
     36    291    1.0000
     36    296    2.0000
     36    299    3.0000
     36    317    1.0000
     36    361    1.0000
     36    400    2.0000
     36    401    1.0000
     36    413    4.0000
     36    428    1.0000
     36    511    1.0000
     36    525    2.0000
     36    547    1.0000
     36    597    1.0000
     36    598    1.0000
     36    601    4.0000
     36    614    1.0000
     36    625    3.0000
     36    642    1.0000
     36    644    1.0000
     36    770   14.0000
     36    779    2.0000
     36    828    1.0000
     36    834    5.0000
     36    879    1.0000
     36    940    6.0000
     36    985    1.0000
     36   1033    6.0000
     36   1059    2.0000
     36   1127    4.0000
     36   1269    1.0000
     36   1281    1.0000
     36   1425    1.0000
     36   1713    2.0000
     36   1789    2.0000
     38     39    1.0000
     38     52    2.0000
     38     58    1.0000
     38     61    1.0000
     38     81    1.0000
     38     86    2.0000
     38     94    1.0000
     38    101    5.0000
     38    109    1.0000
     38    128   13.0000
     38    148    1.0000
     38    168    2.0000
     38    175    1.0000
     38    177   13.0000
     38    233    1.0000
     38    270    1.0000
     38    288   39.0000
     38    302    1.0000
     38    313   50.0000
     38    343    1.0000
     38    365    3.0000
     38    378    2.0000
     38    386    2.0000
     38    393    1.0000
     38    405    3.0000
     38    409    2.0000
     38    437    2.0000
     38    460    1.0000
     38    464    1.0000
     38    475   98.0000
     38    478    1.0000
     38    502   58.0000
     38    527    2.0000
     38    561    1.0000
     38    592    3.0000
     38    626    2.0000
     38    783    2.0000
     41      3    1.0000
     41     11    1.0000
     41     13    1.0000
     41     14    1.0000
     41     15    1.0000
     41     32    6.0000
     41     39    1.0000
     41     42    2.0000
     41     43    2.0000
     41     52    1.0000
     41     56    3.0000
     41     58    3.0000
     41     59    2.0000
     41     61    1.0000
     41     63   26.0000
     41     64    1.0000
     41     65    1.0000
     41     76    3.0000
     41     78    1.0000
     41     80    1.0000
     41     81    1.0000
     41     86    1.0000
     41     90    5.0000
     41     97    3.0000
     41    101    1.0000
     41    120    2.0000
     41    132    1.0000
     41    134    2.0000
     41    151    2.0000
     41    157    1.0000
     41    165    1.0000
     41    166    2.0000
     41    167    1.0000
     41    168   17.0000
     41    169    1.0000
     41    173    1.0000
     41    174    1.0000
     41    176    9.0000
     41    177   31.0000
     41    180    6.0000
     41    183    1.0000
     41    184    2.0000
     41    185    5.0000
     41    186    2.0000
     41    188    1.0000
     41    192    1.0000
     41    215    1.0000
     41    216    1.0000
     41    222    2.0000
     41    223    1.0000
     41    248    1.0000
     41    250    3.0000
     41    251    1.0000
     41    256    1.0000
     41    263    1.0000
     41    265    1.0000
     41    270    2.0000
     41    277    5.0000
     41    280    5.0000
     41    283    3.0000
     41    300    2.0000
     41    308    8.0000
     41    325    2.0000
     41    343    1.0000
     41    353    1.0000
     41    355    2.0000
     41    371    1.0000
     41    375    2.0000
     41    379    1.0000
     41    380    1.0000
     41    381    1.0000
     41    382    1.0000
     41    383    1.0000
     41    389   56.0000
     41    391    1.0000
     41    392    5.0000
     41    396    3.0000
     41    407    9.0000
     41    419    1.0000
     41    437    4.0000
     41    439    1.0000
     41    452    1.0000
     41    460    3.0000
     41    463    4.0000
     41    464    2.0000
     41    473    3.0000
     41    481    1.0000
     41    495    7.0000
     41    502   31.0000
     41    503    1.0000
     41    513    2.0000
     41    515    1.0000
     41    523    4.0000
     41    527    4.0000
     41    528    1.0000
     41    529    1.0000
     41    536    1.0000
     41    538    1.0000
     41    541    1.0000
     41    542    1.0000
     41    561    2.0000
     41    566    1.0000
     41    567    2.0000
     41    595    3.0000
     41    596    1.0000
     41    598    9.0000
     41    599    7.0000
     41    603    2.0000
     41    609    3.0000
     41    610    2.0000
     41    616    2.0000
     41    638    2.0000
     41    642    1.0000
     41    658    2.0000
     41    687    2.0000
     41    707    1.0000
     41    713    2.0000
     41    719    1.0000
     41    741    3.0000
     41    743    1.0000
     41    746    2.0000
     41    754    1.0000
     41    766   13.0000
     41    769    1.0000
     41    780    7.0000
     41    783    1.0000
     41    794    1.0000
     41    805    3.0000
     41    811    1.0000
     41    815    3.0000
     41    817    2.0000
     41    823    2.0000
     41    840    1.0000
     41    863    1.0000
     41    901    5.0000
     41    913    6.0000
     41    919    3.0000
     41    928    5.0000
     41    938    3.0000
     41    943    2.0000
     41    969    1.0000
     41    975    3.0000
     41    978    1.0000
     41   1018    3.0000
     41   1029    7.0000
     41   1039    1.0000
     41   1040    5.0000
     41   1041   12.0000
     41   1043    3.0000
     41   1056    1.0000
     41   1111    1.0000
     41   1136    4.0000
     41   1142    1.0000
     41   1163    3.0000
     41   1182    1.0000
     41   1198    1.0000
     41   1215    1.0000
     41   1217    1.0000
     41   1236    4.0000
     41   1248    1.0000
     41   1253    1.0000
     41   1255    8.0000
     41   1339    1.0000
     41   1423    2.0000
     41   1463    1.0000
     41   1485    1.0000
     41   1497    3.0000
     41   1542    1.0000
     41   1554    3.0000
     41   1580    1.0000
     41   1585    2.0000
     41   1589    1.0000
     41   1652    1.0000
     41   1665    2.0000
     41   1681    1.0000
     41   1745    1.0000
     41   1807    1.0000
     41   1828    1.0000
