city_O,city_D
"Reno","Phoenix"
"Phoenix","Tampa"
"Phoenix","Santa Ana"
"Phoenix","Sacramento"
"Phoenix","San Antonio"
"Phoenix","San Diego"
"Phoenix","Reno"
"Phoenix","Ontario"
"Phoenix","Omaha"
"Phoenix","Oakland"
"Phoenix","Orlando"
"Phoenix","Kansas City"
"Phoenix","Las Vegas"
"Phoenix","Indianapolis"
"Phoenix","Spokane"
"Phoenix","El Paso"
"Phoenix","Columbus"
"Phoenix","Burbank"
"Phoenix","Boise"
"Phoenix","Austin"
"Phoenix","Albuquerque"
"Philadelphia","St. Louis"
"Philadelphia","Boston"
"Philadelphia","Nashville"
"Ontario","Phoenix"
"Omaha","Phoenix"
"Oakland","Phoenix"
"Orlando","Phoenix"
"Kansas City","Phoenix"
"Las Vegas","Phoenix"
"Indianapolis","Phoenix"
"Spokane","Phoenix"
"El Paso","Phoenix"
"Columbus","Phoenix"
"Burbank","Phoenix"
"Boston","Philadelphia"
"Boise","Phoenix"
"Nashville","Philadelphia"
"Austin","Phoenix"
"Albuquerque","Phoenix"
"Valparaiso","Charlotte"
"Visalia","Los Angeles"
"Knoxville","Charlotte"
"BRISTOL","Charlotte"
"Tampa","Charlotte"
"Tallahassee","Charlotte"
"Syracuse","Philadelphia"
"Syracuse","Boston"
"Newburgh","Philadelphia"
"St. Louis","Pittsburgh (pennsylva)"
"St. Louis","Charlotte"
"San Francisco","Fresno"
"San Francisco","Charlotte"
"Salisbury","Philadelphia"
"Salisbury","Charlotte"
"Savannah","Charlotte"
"San Antonio","San Francisco"
"San Diego","Philadelphia"
"San Diego","Charlotte"
"Fort Myers","Charlotte"
"Rochester","Philadelphia"
"Roanoke VA","Charlotte"
"Richmond","Philadelphia"
"Richmond","Charlotte"
"Raleigh-durham","Charlotte"
"Providence","Philadelphia"
"Providence","Charlotte"
"Pittsburgh (pennsylva)","St. Louis"
"Pittsburgh (pennsylva)","Philadelphia"
"Pittsburgh (pennsylva)","Charlotte"
"Pittsburgh (pennsylva)","Windsor Locks"
"Phoenix","Kahului"
"Phoenix","Charlotte"
"Phoenix","Anchorage"
"Philadelphia","Syracuse"
"Philadelphia","Newburgh"
"Philadelphia","Salisbury"
"Philadelphia","San Diego"
"Philadelphia","Rochester"
"Philadelphia","Richmond"
"Philadelphia","Providence"
"Philadelphia","Pittsburgh (pennsylva)"
"Philadelphia","Newport News"
"Philadelphia","Norfolk"
"Philadelphia","New Orleans"
"Philadelphia","Manchester NH"
"Philadelphia","Jacksonville"
"Philadelphia","Ithaca"
"Philadelphia","Islip"
"Philadelphia","Williamsport"
"Philadelphia","Indianapolis"
"Philadelphia","Washington"
"Philadelphia","New Haven"
"Philadelphia","Charlotte"
"Philadelphia","Buffalo"
"Philadelphia","Windsor Locks"
"Newport News","Philadelphia"
"Newport News","Charlotte"
"West Palm Beach","Charlotte"
"Norfolk","Philadelphia"
"Norfolk","Charlotte"
"Kahului","Phoenix"
"Jacksonville NC","Charlotte"
"Myrtle Beach","Charlotte"
"New Orleans","Philadelphia"
"New Orleans","Charlotte"
"Mobile","Charlotte"
"Milwaukee","Charlotte"
"Manchester NH","Philadelphia"
"Manchester NH","New York"
"MONTGOMERY","Charlotte"
"Medford","Denver"
"Harrisburg","Washington"
"Harrisburg","Charlotte"
"Kansas City","Charlotte"
"Merced","Visalia"
"New York","Manchester NH"
"Los Angeles","Visalia"
"Los Angeles","Charlotte"
"Las Vegas","Charlotte"
"Jacksonville","Philadelphia"
"Jacksonville","Charlotte"
"Jackson","Charlotte"
"Ithaca","Philadelphia"
"Islip","Philadelphia"
"Williamsport","Philadelphia"
"Indianapolis","Philadelphia"
"Indianapolis","Charlotte"
"Wilmington","Charlotte"
"Washington","Phoenix"
"Washington","Philadelphia"
"Washington","Harrisburg"
"Washington","White Plains"
"New Haven","Philadelphia"
"Huntington","Charlotte"
"Huntsville","Charlotte"
"White Plains","Washington"
"Hilton Head","Charlotte"
"Greensboro","Philadelphia"
"Gulfport","Charlotte"
"Gainesville","Charlotte"
"Florence","Charlotte"
"Fort Lauderdale","Charlotte"
"Fayetteville","Charlotte"
"New Bern","Charlotte"
"Denver","Idaho Falls"
"Denver","Charlotte"
"Washington","Chattanooga"
"Columbus","Charlotte"
"Charlotte","Valparaiso"
"Charlotte","Knoxville"
"Charlotte","BRISTOL"
"Charlotte","Tampa"
"Charlotte","Tallahassee"
"Charlotte","St. Louis"
"Charlotte","San Francisco"
"Charlotte","Salisbury"
"Charlotte","Savannah"
"Charlotte","San Diego"
"Charlotte","Fort Myers"
"Charlotte","Roanoke VA"
"Charlotte","Richmond"
"Charlotte","Raleigh-durham"
"Charlotte","Providence"
"Charlotte","Pittsburgh (pennsylva)"
"Charlotte","Phoenix"
"Charlotte","Philadelphia"
"Charlotte","Newport News"
"Charlotte","West Palm Beach"
"Charlotte","Norfolk"
"Charlotte","Jacksonville NC"
"Charlotte","Myrtle Beach"
"Charlotte","New Orleans"
"Charlotte","Mobile"
"Charlotte","Milwaukee"
"Charlotte","MONTGOMERY"
"Charlotte","Harrisburg"
"Charlotte","Kansas City"
"Charlotte","Los Angeles"
"Charlotte","Las Vegas"
"Charlotte","Jacksonville"
"Charlotte","Jackson"
"Charlotte","Indianapolis"
"Charlotte","Wilmington"
"Charlotte","Huntington"
"Charlotte","Huntsville"
"Charlotte","Hilton Head"
"Charlotte","Gulfport"
"Charlotte","Gainesville"
"Charlotte","Florence"
"Charlotte","Fort Lauderdale"
"Charlotte","Fayetteville"
"Charlotte","New Bern"
"Charlotte","Denver"
"Charlotte","Columbus"
"Charlotte","Charlottesville VA"
"Charlotte","Chattanooga"
"Charlotte","Buffalo"
"Charlotte","Nashville"
"Charlotte","Birmingham"
"Charlotte","Windsor Locks"
"Charlotte","Asheville"
"Charlotte","Bush Field"
"Charlotte","Allentown"
"Charlottesville VA","Charlotte"
"Chattanooga","Washington"
"Chattanooga","Charlotte"
"Buffalo","Philadelphia"
"Buffalo","Charlotte"
"Burlington","Philadelphia"
"Boston","Syracuse"
"Nashville","Charlotte"
"Birmingham","Charlotte"
"Windsor Locks","Pittsburgh (pennsylva)"
"Windsor Locks","Philadelphia"
"Windsor Locks","Charlotte"
"Asheville","Charlotte"
"Anchorage","Phoenix"
"Bush Field","Charlotte"
"Allentown","Charlotte"
"Tampa","Fort Lauderdale"
"San Diego","Las Vegas"
"Oakland","Las Vegas"
"Orlando","Fort Lauderdale"
"Las Vegas","San Diego"
"Las Vegas","Oakland"
"Fort Lauderdale","Tampa"
"Fort Lauderdale","Orlando"
"Friday Harbor","Seattle"
"Seattle","Friday Harbor"
"Molokai","Molokai"
"Cold Bay","Nelson Lagoon"
"Craig","Klawock"
"Grand Canyon West","Boulder City"
"Boulder City","Grand Canyon West"
"Honolulu","Lahania-kapalua"
"Plattsburgh","Fort Lauderdale"
"Fort Lauderdale","Plattsburgh"
"Tampa","Milwaukee"
"Tampa","Indianapolis"
"Tampa","Baltimore"
"Fort Myers","Washington"
"Fort Myers","Baltimore"
"Pittsburgh (pennsylva)","Orlando"
"Milwaukee","Tampa"
"Milwaukee","Baltimore"
"Orlando","Pittsburgh (pennsylva)"
"Orlando","Indianapolis"
"Orlando","Baltimore"
"Indianapolis","Tampa"
"Indianapolis","Orlando"
"Fort Lauderdale","Baltimore"
"Washington","Fort Myers"
"Baltimore","Tampa"
"Baltimore","Fort Myers"
"Baltimore","Milwaukee"
"Baltimore","Orlando"
"Baltimore","Fort Lauderdale"
"Fort Myers","Milwaukee"
"Philadelphia","Milwaukee"
"Page","Farmington"
"Milwaukee","Fort Myers"
"Milwaukee","Philadelphia"
"Milwaukee","Kansas City"
"Milwaukee","New York"
"Milwaukee","Washington"
"Orlando","Kansas City"
"Kansas City","Milwaukee"
"Kansas City","Orlando"
"Kansas City","Las Vegas"
"Merced","Las Vegas"
"New York","Milwaukee"
"Las Vegas","Page"
"Las Vegas","Kansas City"
"Denver","Dayton"
"Washington","Milwaukee"
"Valparaiso","Atlanta"
"Tampa","Raleigh-durham"
"Tampa","Detroit"
"Tampa","Atlanta"
"St. Louis","Raleigh-durham"
"St. Louis","Minneapolis"
"St. Louis","Detroit"
"St. Louis","Atlanta"
"Sarasota","Atlanta"
"Salt Lake City","Seattle"
"Salt Lake City","Reno"
"Salt Lake City","Oakland"
"Salt Lake City","Las Vegas"
"Salt Lake City","Honolulu"
"Salt Lake City","Baltimore"
"Salt Lake City","Albuquerque"
"San Francisco","Atlanta"
"Seattle","Salt Lake City"
"Louisville","Atlanta"
"San Antonio","Atlanta"
"San Diego","Minneapolis"
"Fort Myers","Minneapolis"
"Fort Myers","Detroit"
"Fort Myers","Atlanta"
"Rochester","Minneapolis"
"Rochester","Atlanta"
"Reno","Salt Lake City"
"Richmond","New York"
"Richmond","Atlanta"
"Raleigh-durham","Tampa"
"Raleigh-durham","St. Louis"
"Raleigh-durham","Orlando"
"Raleigh-durham","Baltimore"
"Raleigh-durham","Atlanta"
"Pensacola","Atlanta"
"Pittsburgh (pennsylva)","Atlanta"
"Philadelphia","Los Angeles"
"Philadelphia","New York"
"Philadelphia","Cincinnati"
"Newport News","Atlanta"
"West Palm Beach","Atlanta"
"Oakland","Salt Lake City"
"New Orleans","Kansas City"
"New Orleans","Atlanta"
"Minneapolis","St. Louis"
"Minneapolis","San Diego"
"Minneapolis","Fort Myers"
"Minneapolis","Rochester"
"Minneapolis","Milwaukee"
"Minneapolis","Las Vegas"
"Minneapolis","Lansing"
"Minneapolis","Detroit"
"Minneapolis","Atlanta"
"Madison","Washington"
"Milwaukee","Minneapolis"
"Milwaukee","Atlanta"
"Memphis","Charlotte"
"Memphis","Atlanta"
"Orlando","Raleigh-durham"
"Orlando","Atlanta"
"Kansas City","New Orleans"
"Kansas City","New York"
"Kansas City","Boston"
"Kansas City","Austin"
"Kansas City","Atlanta"
"New York","Kansas City"
"New York","Bangor"
"Las Vegas","Salt Lake City"
"Las Vegas","Minneapolis"
"Las Vegas","Detroit"
"Las Vegas","Atlanta"
"Lansing","Minneapolis"
"New York","Richmond"
"New York","Philadelphia"
"New York","Albany"
"Jacksonville","Atlanta"
"Indianapolis","Atlanta"
"Wichita","Atlanta"
"White Plains","Atlanta"
"Grand Rapids","Washington"
"Flint","Atlanta"
"Fort Lauderdale","Detroit"
"Detroit","Tampa"
"Detroit","St. Louis"
"Detroit","Fort Myers"
"Detroit","Las Vegas"
"Detroit","Fort Lauderdale"
"Detroit","Charleston"
"Detroit","Baltimore"
"Detroit","Nashville"
"Detroit","Atlanta"
"Washington","Madison"
"Washington","Grand Rapids"
"Dayton","Atlanta"
"Cincinnati","Philadelphia"
"Charlotte","Memphis"
"Akron","Atlanta"
"Baltimore","Salt Lake City"
"Baltimore","Raleigh-durham"
"Baltimore","Detroit"
"Baltimore","Atlanta"
"Buffalo","Atlanta"
"Boston","Kansas City"
"Boston","Atlanta"
"Nashville","Detroit"
"Bloomington","Atlanta"
"Bangor","New York"
"Austin","Kansas City"
"Atlanta","Valparaiso"
"Atlanta","Tampa"
"Atlanta","St. Louis"
"Atlanta","Sarasota"
"Atlanta","Salt Lake City"
"Atlanta","San Francisco"
"Atlanta","Louisville"
"Atlanta","San Antonio"
"Atlanta","Fort Myers"
"Atlanta","Rochester"
"Atlanta","Richmond"
"Atlanta","Raleigh-durham"
"Atlanta","Pensacola"
"Atlanta","Pittsburgh (pennsylva)"
"Atlanta","Newport News"
"Atlanta","West Palm Beach"
"Atlanta","New Orleans"
"Atlanta","Minneapolis"
"Atlanta","Milwaukee"
"Atlanta","Memphis"
"Atlanta","Orlando"
"Atlanta","Kansas City"
"Atlanta","Los Angeles"
"Atlanta","Las Vegas"
"Atlanta","Jacksonville"
"Atlanta","Indianapolis"
"Atlanta","Wichita"
"Atlanta","White Plains"
"Atlanta","Flint"
"Atlanta","Detroit"
"Atlanta","Dayton"
"Atlanta","Charleston"
"Atlanta","Akron"
"Atlanta","Baltimore"
"Atlanta","Buffalo"
"Atlanta","Boston"
"Atlanta","Bloomington"
"Atlanta","Albany"
"Albany","New York"
"Albany","Atlanta"
"Albuquerque","Salt Lake City"
"Yuma","Los Angeles"
"Bentonville","Houston"
"Bentonville","Newark"
"Bentonville","Denver"
"Valparaiso","Houston"
"Knoxville","Houston"
"Knoxville","Newark"
"Tucson","San Francisco"
"Tucson","Houston"
"Tulsa","Newark"
"Tampa","Tallahassee"
"Tampa","Pensacola"
"Tampa","Cleveland"
"Tallahassee","Tampa"
"St. Louis","San Francisco"
"St. Louis","Cleveland"
"Santa Ana","Houston"
"Santa Ana","Newark"
"Sacramento","San Francisco"
"Sacramento","Arcata CA"
"Shreveport","Houston"
"Saint George","Los Angeles"
"San Francisco","Tucson"
"San Francisco","St. Louis"
"San Francisco","Sacramento"
"San Francisco","San Luis Obispo"
"San Francisco","Santa Barbara"
"San Francisco","Redding"
"San Francisco","Pasco"
"San Francisco","North Bend"
"San Francisco","Ontario"
"San Francisco","New Orleans"
"San Francisco","Modesto"
"San Francisco","Klamath Falls"
"San Francisco","Hilo"
"San Francisco","Spokane"
"San Francisco","Colorado Springs"
"San Francisco","Cleveland"
"San Francisco","Chico"
"San Francisco","Crescent City"
"San Francisco","Bakersfield"
"San Francisco","Aspen"
"San Francisco","Arcata CA"
"Louisville","Houston"
"Louisville","Newark"
"Louisville","Cleveland"
"San Luis Obispo","San Francisco"
"San Luis Obispo","Los Angeles"
"Santa Barbara","San Francisco"
"Savannah","Chicago"
"Savannah","Houston"
"Savannah","Newark"
"San Antonio","Newark"
"San Diego","Mammoth Lakes"
"San Diego","Newark"
"Fort Myers","Houston"
"Fort Myers","Cleveland"
"Roanoke VA","Chicago"
"Rock Springs","Denver"
"Richmond","Houston"
"Richmond","Washington"
"Richmond","Newark"
"Richmond","Cleveland"
"Raleigh-durham","Houston"
"Raleigh-durham","Newark"
"Raleigh-durham","Cleveland"
"Redding","San Francisco"
"Rapid City","Chicago"
"Rapid City","Denver"
"Providence","Cleveland"
"Palm Springs","Los Angeles"
"Palm Springs","Las Vegas"
"Pasco","San Francisco"
"Pensacola","Tampa"
"Pensacola","Chicago"
"Pensacola","Orlando"
"Pensacola","Houston"
"Pensacola","Washington"
"PARKERSBURG","Cleveland"
"Pittsburgh (pennsylva)","Houston"
"Pittsburgh (pennsylva)","Newark"
"Peoria","Denver"
"Phoenix","Cleveland"
"Portland","Klamath Falls"
"West Palm Beach","Cleveland"
"PADUCAH","Chicago"
"North Bend","San Francisco"
"Norfolk","Newark"
"Chicago","Savannah"
"Chicago","Roanoke VA"
"Chicago","Rapid City"
"Chicago","Pensacola"
"Chicago","PADUCAH"
"Chicago","Montrose CO"
"Chicago","Muskegon"
"Chicago","Saginaw"
"Chicago","Lansing"
"Chicago","Eau Claire"
"Chicago","Duluth"
"Chicago","Hancock"
"Chicago","Akron"
"Chicago","Colombia"
"Chicago","Bozeman"
"Chicago","Bismarck"
"Chicago","Scranton"
"Chicago","Asheville"
"Chicago","Aspen"
"Ontario","San Francisco"
"Ontario","Houston"
"Omaha","Newark"
"Oklahoma City","Newark"
"Kahului","Denver"
"Myrtle Beach","Newark"
"Montrose CO","Chicago"
"Montrose CO","Houston"
"Montrose CO","Newark"
"New Orleans","San Francisco"
"New Orleans","Newark"
"New Orleans","Cleveland"
"Missoula","Denver"
"Madison","Newark"
"Madison","Cleveland"
"Monterey","Denver"
"Minot","Denver"
"Modesto","San Francisco"
"Mobile","Houston"
"Muskegon","Chicago"
"Milwaukee","Houston"
"Milwaukee","Cleveland"
"Manchester NH","Newark"
"Manchester NH","Cleveland"
"Mcallen","Houston"
"Orlando","Pensacola"
"Orlando","Cleveland"
"Kansas City","Newark"
"Kansas City","Cleveland"
"Saginaw","Chicago"
"Midland","Denver"
"Lewisburg","Cleveland"
"Laredo","Houston"
"Klamath Falls","San Francisco"
"Klamath Falls","Portland"
"Little Rock","Newark"
"Lafayette","Houston"
"Lexington KY","Houston"
"Lubbock","Houston"
"Lubbock","Denver"
"Los Angeles","Yuma"
"Los Angeles","Saint George"
"Los Angeles","San Luis Obispo"
"Los Angeles","Palm Springs"
"Los Angeles","Jacksn Hole"
"Los Angeles","Hilo"
"Los Angeles","Imperial"
"Los Angeles","Cleveland"
"Los Angeles","Carlsbad"
"Los Angeles","Bakersfield"
"Las Vegas","Palm Springs"
"Las Vegas","Newark"
"Lansing","Chicago"
"Kona","Chicago"
"Jamestown","Cleveland"
"Jamestown","Bradford"
"Jacksonville","Newark"
"Jacksn Hole","Los Angeles"
"Jacksn Hole","Denver"
"Hilo","San Francisco"
"Hilo","Los Angeles"
"Imperial","Los Angeles"
"Indianapolis","Newark"
"Indianapolis","Cleveland"
"Wichita","Houston"
"Houston","Bentonville"
"Houston","Valparaiso"
"Houston","Knoxville"
"Houston","Tucson"
"Houston","Santa Ana"
"Houston","Sacramento"
"Houston","Shreveport"
"Houston","Louisville"
"Houston","Savannah"
"Houston","Fort Myers"
"Houston","Richmond"
"Houston","Pensacola"
"Houston","Pittsburgh (pennsylva)"
"Houston","Ontario"
"Houston","Montrose CO"
"Houston","Mobile"
"Houston","Milwaukee"
"Houston","Laredo"
"Houston","Lafayette"
"Houston","Lexington KY"
"Houston","Lubbock"
"Houston","Indianapolis"
"Houston","Wichita"
"Houston","Huntsville"
"Houston","Hobbs"
"Houston","Honolulu"
"Houston","Hayden"
"Houston","Gunnison"
"Houston","Greensboro"
"Houston","Grand Rapids"
"Houston","Gulfport"
"Houston","Grand Junction"
"Houston","Vail"
"Houston","Des Moines"
"Houston","Colorado Springs"
"Houston","Columbus"
"Houston","Cedar Rapids"
"Houston","Colombia"
"Houston","Baton Rouge"
"Houston","Brownsville"
"Houston","Asheville"
"Houston","Aspen"
"Houston","Amarillo"
"Houston","Alexandria"
"Washington","Tulsa"
"Washington","Roanoke VA"
"Washington","Richmond"
"Washington","Pensacola"
"Washington","Albuquerque"
"Huntsville","Houston"
"Hobbs","Houston"
"Honolulu","Houston"
"Honolulu","Newark"
"Honolulu","Denver"
"Helena","Denver"
"Hayden","Houston"
"Hayden","Newark"
"Gunnison","Houston"
"Great Falls","Denver"
"Greenville","Newark"
"Greenville","Cleveland"
"Greensboro","Houston"
"Greensboro","Newark"
"Grand Rapids","Houston"
"Grand Rapids","Newark"
"Grand Rapids","Cleveland"
"Green Bay","Cleveland"
"Gulfport","Houston"
"Grand Junction","Houston"
"Grand Junction","Denver"
"Spokane","San Francisco"
"Fort Lauderdale","Key West"
"Fort Lauderdale","Cleveland"
"Franklin","Du Bois"
"Franklin","Cleveland"
"Key West","Fort Lauderdale"
"Newark","Bentonville"
"Newark","Knoxville"
"Newark","Tulsa"
"Newark","Santa Ana"
"Newark","Louisville"
"Newark","Savannah"
"Newark","San Antonio"
"Newark","San Diego"
"Newark","Richmond"
"Newark","Raleigh-durham"
"Newark","Pittsburgh (pennsylva)"
"Newark","Norfolk"
"Newark","Omaha"
"Newark","Oklahoma City"
"Newark","Myrtle Beach"
"Newark","Montrose CO"
"Newark","New Orleans"
"Newark","Madison"
"Newark","Manchester NH"
"Newark","Kansas City"
"Newark","Little Rock"
"Newark","Las Vegas"
"Newark","Jacksonville"
"Newark","Indianapolis"
"Newark","Honolulu"
"Newark","Hayden"
"Newark","Greenville"
"Newark","Greensboro"
"Newark","Grand Rapids"
"Newark","Vail"
"Newark","Des Moines"
"Newark","Dayton"
"Newark","Columbus"
"Newark","Cleveland"
"Newark","Charleston"
"Newark","Buffalo"
"Newark","Burlington"
"Newark","Nashville"
"Newark","Asheville"
"Newark","Austin"
"Newark","Albany"
"El Paso","Denver"
"Vail","Houston"
"Vail","Newark"
"Eau Claire","Chicago"
"Du Bois","Cleveland"
"Des Moines","Houston"
"Des Moines","Newark"
"Duluth","Chicago"
"Denver","Bentonville"
"Denver","Rock Springs"
"Denver","Rapid City"
"Denver","Peoria"
"Denver","Kahului"
"Denver","Missoula"
"Denver","Monterey"
"Denver","Minot"
"Denver","Midland"
"Denver","Lubbock"
"Denver","Jacksn Hole"
"Denver","Honolulu"
"Denver","Helena"
"Denver","Great Falls"
"Denver","Grand Junction"
"Denver","Kalispell"
"Denver","El Paso"
"Denver","Dallas"
"Denver","Casper"
"Denver","Cleveland"
"Denver","Cedar Rapids"
"Denver","Bismarck"
"Denver","Birmingham"
"Dayton","Newark"
"Dayton","Cleveland"
"Dallas","Denver"
"Casper","Denver"
"Colorado Springs","Houston"
"Colorado Springs","Washington"
"Cody","Denver"
"Hancock","Chicago"
"Columbus","Houston"
"Columbus","Newark"
"Cleveland","Tampa"
"Cleveland","St. Louis"
"Cleveland","San Francisco"
"Cleveland","Louisville"
"Cleveland","Fort Myers"
"Cleveland","Richmond"
"Cleveland","Raleigh-durham"
"Cleveland","Providence"
"Cleveland","PARKERSBURG"
"Cleveland","Phoenix"
"Cleveland","West Palm Beach"
"Cleveland","New Orleans"
"Cleveland","Madison"
"Cleveland","Milwaukee"
"Cleveland","Manchester NH"
"Cleveland","Orlando"
"Cleveland","Kansas City"
"Cleveland","Lewisburg"
"Cleveland","Los Angeles"
"Cleveland","Jamestown"
"Cleveland","Indianapolis"
"Cleveland","Houston"
"Cleveland","Greenville"
"Cleveland","Grand Rapids"
"Cleveland","Green Bay"
"Cleveland","Fort Lauderdale"
"Cleveland","Franklin"
"Cleveland","Du Bois"
"Cleveland","Denver"
"Cleveland","Dayton"
"Cleveland","Burlington"
"Cleveland","Boston"
"Cleveland","Bradford"
"Cleveland","Windsor Locks"
"Cleveland","Albany"
"Carlsbad","Los Angeles"
"Cedar Rapids","Houston"
"Cedar Rapids","Denver"
"Chico","San Francisco"
"Charleston","Newark"
"Crescent City","San Francisco"
"Crescent City","Arcata CA"
"Akron","Chicago"
"Colombia","Chicago"
"Colombia","Houston"
"Bozeman","Chicago"
"Buffalo","Newark"
"Burlington","Newark"
"Burlington","Cleveland"
"Baton Rouge","Houston"
"Brownsville","Houston"
"Boston","Cleveland"
"Nashville","Newark"
"Bismarck","Chicago"
"Bismarck","Denver"
"Birmingham","Denver"
"Bakersfield","San Francisco"
"Bakersfield","Los Angeles"
"Bradford","Jamestown"
"Bradford","Cleveland"
"Windsor Locks","Cleveland"
"Scranton","Chicago"
"Asheville","Chicago"
"Asheville","Houston"
"Asheville","Newark"
"Austin","Newark"
"Aspen","Chicago"
"Aspen","Houston"
"Amarillo","Houston"
"Albany","Newark"
"Albany","Cleveland"
"Alexandria","Houston"
"Arcata CA","Sacramento"
"Arcata CA","San Francisco"
"Arcata CA","Crescent City"
"Albuquerque","Washington"
"Sarasota","Boston"
"Salt Lake City","Long Beach"
"Salt Lake City","New York"
"San Francisco","Fort Lauderdale"
"Fort Myers","New York"
"Fort Myers","Boston"
"Richmond","Orlando"
"Richmond","Boston"
"Raleigh-durham","Fort Lauderdale"
"Raleigh-durham","Boston"
"Pittsburgh (pennsylva)","Boston"
"West Palm Beach","White Plains"
"New Orleans","New York"
"Orlando","Richmond"
"Orlando","White Plains"
"Orlando","Windsor Locks"
"Orlando","Austin"
"Long Beach","Salt Lake City"
"Las Vegas","Burbank"
"New York","Salt Lake City"
"New York","Fort Myers"
"New York","New Orleans"
"New York","Jacksonville"
"Jacksonville","New York"
"White Plains","West Palm Beach"
"White Plains","Orlando"
"Fort Lauderdale","San Francisco"
"Fort Lauderdale","Raleigh-durham"
"Fort Lauderdale","Buffalo"
"Fort Lauderdale","Boston"
"Fort Lauderdale","Windsor Locks"
"Fort Lauderdale","Austin"
"Charlotte","Boston"
"Burbank","Las Vegas"
"Buffalo","Fort Lauderdale"
"Buffalo","Boston"
"Boston","Sarasota"
"Boston","Fort Myers"
"Boston","Richmond"
"Boston","Raleigh-durham"
"Boston","Pittsburgh (pennsylva)"
"Boston","Fort Lauderdale"
"Boston","Charlotte"
"Boston","Buffalo"
"Windsor Locks","Orlando"
"Windsor Locks","Fort Lauderdale"
"Austin","Orlando"
"Austin","Fort Lauderdale"
"Unalakleet","Aniak"
"Santa Rosa","Portland"
"St. Louis","Seattle"
"St. George","St. Paul Island"
"St. George","Anchorage"
"St. Paul Island","St. George"
"St. Paul Island","Anchorage"
"Sacramento","Kahului"
"San Jose","Kona"
"Sitka","Juneau"
"Seattle","St. Louis"
"Seattle","Reno"
"Seattle","Kahului"
"Seattle","Minneapolis"
"Seattle","Long Beach"
"Seattle","Las Vegas"
"Seattle","Boston"
"Seattle","Atlanta"
"Sand Point","Anchorage"
"San Diego","Kahului"
"San Diego","Honolulu"
"Reno","Seattle"
"Portland","Santa Rosa"
"Portland","Ontario"
"Portland","Kahului"
"Portland","Medford"
"Portland","Honolulu"
"Portland","Fresno"
"Portland","Burbank"
"Portland","Boston"
"Ontario","Portland"
"Kahului","Sacramento"
"Kahului","Seattle"
"Kahului","San Diego"
"Kahului","Portland"
"Oakland","Kona"
"Minneapolis","Portland"
"Medford","Portland"
"Mcgrath","Anchorage"
"Long Beach","Seattle"
"Las Vegas","Seattle"
"Las Vegas","Bellingham"
"Ketchikan","Sitka"
"Kona","San Jose"
"Kona","Oakland"
"Honolulu","San Diego"
"Honolulu","Portland"
"Fresno","Portland"
"Dillingham","King Salmon"
"Cold Bay","Anchorage"
"Burbank","Portland"
"Boston","Seattle"
"Boston","Portland"
"Bellingham","Las Vegas"
"Atlanta","Seattle"
"Anchorage","St. George"
"Anchorage","St. Paul Island"
"Anchorage","Sand Point"
"Anchorage","Mcgrath"
"Anchorage","Cold Bay"
"Anchorage","King Salmon"
"King Salmon","Dillingham"
"King Salmon","Anchorage"
"Tucson","Chicago"
"Hailey","Los Angeles"
"St. Louis","Dallas-fort Worth"
"Santa Ana","Seattle"
"Santa Ana","Dallas-fort Worth"
"Sacramento","Dallas-fort Worth"
"Salt Lake City","Dallas-fort Worth"
"San Jose","Mammoth Lakes"
"San Jose","Dallas-fort Worth"
"San Francisco","Miami"
"Seattle","Santa Ana"
"Seattle","San Diego"
"Seattle","Ontario"
"Seattle","Miami"
"Seattle","Dallas-fort Worth"
"Seattle","Burbank"
"San Antonio","Dallas-fort Worth"
"San Diego","Seattle"
"Reno","Chicago"
"Philadelphia","Miami"
"Portland","Dallas-fort Worth"
"Chicago","Tucson"
"Chicago","San Jose"
"Chicago","Reno"
"Chicago","El Paso"
"Ontario","Seattle"
"Omaha","Dallas-fort Worth"
"Oklahoma City","Los Angeles"
"New Orleans","Miami"
"New Orleans","Dallas-fort Worth"
"Mammoth Lakes","San Jose"
"Milwaukee","Dallas-fort Worth"
"Miami","San Francisco"
"Miami","Seattle"
"Miami","Phoenix"
"Miami","Philadelphia"
"Miami","Memphis"
"Miami","Orlando"
"Miami","Detroit"
"Miami","Cincinnati"
"Miami","Charlotte"
"Miami","Baltimore"
"Miami","Atlanta"
"Mcallen","Dallas-fort Worth"
"Memphis","Miami"
"Los Angeles","Hailey"
"Los Angeles","Oklahoma City"
"New York","Vail"
"Fort Lauderdale","Dallas-fort Worth"
"El Paso","Chicago"
"Vail","New York"
"Detroit","Miami"
"Detroit","Dallas-fort Worth"
"Dallas-fort Worth","Santa Ana"
"Dallas-fort Worth","Salt Lake City"
"Dallas-fort Worth","San Jose"
"Dallas-fort Worth","Springfield"
"Dallas-fort Worth","San Antonio"
"Dallas-fort Worth","San Diego"
"Dallas-fort Worth","Portland"
"Dallas-fort Worth","Omaha"
"Dallas-fort Worth","Milwaukee"
"Dallas-fort Worth","Huntsville"
"Dallas-fort Worth","Fort Lauderdale"
"Dallas-fort Worth","El Paso"
"Dallas-fort Worth","Cincinnati"
"Dallas-fort Worth","Columbus"
"Dallas-fort Worth","Nashville"
"Dallas-fort Worth","Austin"
"Dallas-fort Worth","Atlanta"
"Dallas-fort Worth","Albuquerque"
"Cincinnati","Miami"
"Cincinnati","Dallas-fort Worth"
"Columbus","Dallas-fort Worth"
